millis,mA
39429,1.20
39432,2.60
39435,2.20
39437,1.70
39440,1.40
39442,1.60
39445,1.90
39448,1.40
39450,1.70
39453,1.80
39456,1.70
39458,1.50
39461,1.90
39463,1.90
39467,1.60
39470,1.50
39472,1.70
39475,2.00
39478,1.20
39480,1.80
39483,2.10
39485,1.70
39488,1.30
39491,1.90
39493,1.70
39496,1.30
39499,2.00
39501,2.20
39504,1.30
39506,1.80
39510,2.30
39513,1.20
39515,1.20
39518,2.10
39521,1.90
39523,1.90
39526,1.50
39528,2.10
39531,1.80
39534,1.70
39536,1.60
39539,2.20
39542,1.40
39544,1.70
39547,1.90
39549,1.50
39553,1.20
39556,2.30
39558,2.00
39561,1.30
39564,1.80
39566,2.40
39569,1.70
39571,1.50
39574,2.20
39577,1.80
39579,1.50
39582,1.80
39585,2.30
39587,1.90
39590,1.30
39592,2.00
39596,1.90
39599,1.90
39601,1.30
39604,2.00
39607,1.90
39609,1.60
39612,2.00
39614,1.90
39617,1.50
39620,1.60
39622,2.10
39625,1.80
39628,2.10
39630,2.00
39633,1.80
39635,1.50
39639,1.80
39642,1.90
39644,1.80
39647,1.50
39650,1.90
39652,2.20
39655,1.60
39657,1.60
39660,2.50
39663,1.70
39665,1.20
39668,1.90
39671,1.80
39673,1.70
39676,2.10
39680,1.90
39682,1.70
39685,1.60
39687,1.80
39690,2.10
39693,1.60
39695,1.90
39698,2.20
39701,1.60
39703,1.50
39706,2.10
39708,2.10
39711,1.90
39714,1.70
39716,2.50
39719,2.00
39723,1.30
39725,2.20
39728,2.20
39730,1.60
39733,2.00
39736,2.30
39738,2.10
39741,1.50
39744,2.00
39746,2.00
39749,1.30
39751,1.80
39754,2.00
39757,1.90
39759,1.40
39762,2.20
39766,2.00
39768,1.20
39771,1.80
39773,2.20
39776,1.40
39779,1.50
39781,2.40
39784,2.00
39787,1.90
39789,2.30
39792,1.90
39794,1.60
39797,2.20
39800,2.10
39802,2.10
39805,1.40
39809,1.30
39811,1.80
39814,2.00
39816,1.50
39819,2.30
39822,2.10
39824,1.60
39827,1.60
39830,2.40
39832,1.40
39835,1.70
39837,2.00
39840,1.90
39843,1.60
39845,2.00
39848,2.00
39852,1.50
